序號,班級,學號,姓名,GitHub帳號,作業1,作業2,作業3,作業4,作業5,作業6,作業7,作業8,作業9,作業10
1,電資AI,111C5297,熊韻穎,z17MZOk2DJ,4,9,5,5,10,9,2,0,5,8
2,電資AI,112C5285,錢立維,harUSBRJvt,10,10,0,1,2,5,10,6,8,6
3,資工所,11259887,潘弘心,pZVoYjwcYh,2,8,1,4,7,6,4,0,4,7
4,資工所,11259880,盧敏曉,6vLcjCnuEB,7,9,5,8,1,9,2,0,5,4
5,電資資安,111C5388,胡雅彥,asF0rJxF7M,3,8,7,1,1,1,6,5,3,4
6,資工系,11259055,顧秀文,bfBjJLE5hm,5,9,0,9,3,0,1,3,10,6
7,資工系,11159047,潘倫倫,UMCdG9f2NJ,10,9,6,1,3,5,5,7,4,10
8,電資AI,111C5245,侯鴻英,4G6oZ3IKmD,7,7,7,9,6,9,4,4,3,6
9,電資資安,111C5367,牛曉芳,xMknBxPSzw,8,2,7,8,1,6,1,2,0,3
10,資工系,11159078,祁瑜永,eZeZLBbyTA,1,7,8,3,3,8,4,1,9,1
11,資工所,11259849,於豪淑,QuwCqP6GZv,5,9,3,1,0,9,8,7,0,7
12,創新AI,111C7138,蔣嘉華,Cg0PVtz3QT,7,2,2,2,3,2,2,6,6,5
13,資工所,11259817,史宗靜,0diw3TdzvY,1,8,1,9,6,4,1,8,7,7
14,資工系,1125907,蕭萍政,L4MhseXG9h,8,5,10,4,6,5,7,2,10,7
15,電資AI,112C5216,牛建宜,tNWekh5IEB,5,2,2,4,3,1,10,4,4,9
16,電資AI,111C5223,鄧芬琪,Kpx2e7jp84,0,2,4,10,4,3,4,10,5,8
17,創新AI,112C7123,葉倫宜,AUmMaczZou,9,4,7,6,9,1,9,7,4,4
18,創新AI,112C7191,蔣憲翔,HyqgVKeg9v,5,1,9,1,3,2,4,3,9,8
19,資工所,11159885,呂瑞鈴,6sjZDMEEFB,3,3,8,10,4,2,7,0,8,2
20,創新AI,112C7194,韓穎青,12kDc9Pc26,4,0,9,9,1,5,5,4,10,3
21,資工所,11259828,田心儀,fomdWpoKJ4,5,6,7,2,9,1,6,8,1,0
22,資工系,11159080,袁麗志,OjiiF02T4L,0,3,9,0,0,8,6,3,2,4
23,資工所,11159849,張鴻祥,5jFgkBz2uy,9,3,1,6,9,8,10,9,7,1
24,電資資安,111C5363,戴柏蓉,734cefbuSv,2,2,2,3,2,6,4,7,2,0
25,電資AI,112C5298,閻華立,jl6wRQNdsh,2,5,2,2,3,1,5,10,0,1
26,電資AI,111C5245,祁忠家,wFMd72wXWj,10,6,7,1,8,1,1,2,7,3
27,資工所,11259881,施忠曉,vaWdR7pIYJ,1,7,7,8,3,8,5,5,3,2
28,資工所,1115981,程冠立,484FMAmISI,4,0,10,9,0,10,6,0,4,6
29,創新AI,112C7157,陸子柏,6h5KUL5Umw,3,5,3,5,7,2,5,4,4,3
30,電資AI,111C5233,崔鈴瑞,c3Aidr8s94,9,5,1,2,5,2,5,1,1,5
31,電資AI,111C5260,餘民華,rSBB7IsnOa,5,6,4,1,0,2,0,2,6,0
32,資工系,11259071,陸韻中,xQQnCAG7M4,1,4,4,5,10,5,10,4,8,10
33,資工所,11259857,陸志銘,mLUDWcDSPK,3,8,8,2,9,2,9,0,8,7
34,電資資安,111C5376,張彥芬,lS8dba8ZUB,5,5,10,2,1,3,8,2,3,5
35,電資AI,111C5274,韓凱中,IO1OntofuD,5,7,8,4,3,5,8,0,1,2
36,資工系,11259076,武建正,lAA6qmrf7B,7,4,5,7,3,9,10,5,3,5
37,資工所,11159899,羅育彥,cSuleidV79,6,8,0,7,1,10,0,1,1,4
38,電資資安,112C5338,徐育家,GoUcq7Rrmn,3,2,5,10,6,8,10,2,8,8
39,電資資安,111C5395,陸雅瑋,4422YLYCFq,5,4,10,2,1,7,0,9,6,1
40,資工所,11259813,尹良欣,8JTVSC1wRu,4,8,6,5,2,8,0,9,3,6
